minimum_score,minimum_adx,minimum_rvol,stop_atr,target_r,allow_long,allow_short,starting_capital,ending_capital,net_profit,total_return_pct,trades,win_rate_pct,profit_factor,average_r,max_drawdown_pct,rank_score
80,25,1.0,1.5,1.5,True,False,10000.0,11286.42,1286.42,12.86,20,65.0,2.71,0.62,-1.99,143.98
85,25,1.0,1.5,1.5,True,False,10000.0,11286.42,1286.42,12.86,20,65.0,2.71,0.62,-1.99,143.98
75,18,1.0,1.5,1.5,True,False,10000.0,11896.15,1896.15,18.96,32,62.5,2.41,0.56,-1.99,143.98
75,18,1.2,1.5,1.5,True,False,10000.0,11894.7,1894.7,18.95,32,62.5,2.41,0.56,-1.99,143.95999999999998
75,25,1.0,1.25,1.5,True,False,10000.0,11964.12,1964.12,19.64,34,61.76,2.32,0.54,-3.45,140.18200000000002
75,25,1.2,1.25,1.5,True,False,10000.0,11964.12,1964.12,19.64,34,61.76,2.32,0.54,-3.45,140.18200000000002
75,25,1.5,1.25,1.5,True,False,10000.0,11964.12,1964.12,19.64,34,61.76,2.32,0.54,-3.45,140.18200000000002
75,30,1.0,1.25,1.5,True,False,10000.0,11964.12,1964.12,19.64,34,61.76,2.32,0.54,-3.45,140.18200000000002
75,30,1.2,1.25,1.5,True,False,10000.0,11964.12,1964.12,19.64,34,61.76,2.32,0.54,-3.45,140.18200000000002
75,30,1.5,1.25,1.5,True,False,10000.0,11964.12,1964.12,19.64,34,61.76,2.32,0.54,-3.45,140.18200000000002
75,18,1.2,1.25,1.5,True,False,10000.0,12017.7,2017.7,20.18,36,61.11,2.25,0.52,-3.01,138.722
75,18,1.0,1.25,1.5,True,False,10000.0,12016.78,2016.78,20.17,36,61.11,2.25,0.52,-3.02,138.692
90,18,1.5,1.25,2.0,True,False,10000.0,10394.31,394.31,3.94,5,60.0,2.91,0.79,-1.0,136.53
90,22,1.5,1.25,2.0,True,False,10000.0,10394.31,394.31,3.94,5,60.0,2.91,0.79,-1.0,136.53
90,25,1.5,1.25,2.0,True,False,10000.0,10394.31,394.31,3.94,5,60.0,2.91,0.79,-1.0,136.53
90,30,1.5,1.25,2.0,True,False,10000.0,10394.31,394.31,3.94,5,60.0,2.91,0.79,-1.0,136.53
