Datetime,Open,High,Low,Close,Volume,EMA_FAST,EMA_SLOW,EMA_TREND,RSI,ATR,PLUS_DI,MINUS_DI,ADX,VWAP,AVG_VOLUME,RVOL,BODY_ATR,VWAP_DIST_ATR,PRIOR_HIGH,PRIOR_LOW,BULL_BREAKOUT,BEAR_BREAKOUT,BULL_PULLBACK,BEAR_PULLBACK,LONG_SETUP_TYPE,SHORT_SETUP_TYPE,BULL_SCORE,BEAR_SCORE,LONG_SIGNAL,SHORT_SIGNAL
2026-04-17 09:30:00,645.5499877929688,646.27001953125,644.0700073242188,645.094970703125,5391059,645.094970703125,645.094970703125,645.094970703125,50.0,2.20001220703125,0.0,0.0,0.0,645.1449991861979,,,0.2068248023304203,0.022740093401749085,,,False,False,False,False,NONE,NONE,0,15,False,False
2026-04-17 09:35:00,645.030029296875,646.1799926757812,644.9500122070312,645.6900024414062,918195,645.2139770507813,645.1490644975142,645.1008914169388,50.0,2.1307242257254466,0.0,0.0,0.0,645.2121866879082,,,0.30974123096880324,0.22425039699135127,,,False,False,True,False,PULLBACK,NONE,55,0,False,False
2026-04-17 09:40:00,645.6799926757812,646.1900024414062,645.3101196289062,645.8900146484375,644162,645.3491845703126,645.2164236021437,645.1087433893915,50.0,2.0413784104950574,0.03502453319055039,0.0,100.0,645.2663369283682,,,0.10288243060497407,0.30551793673473426,,,False,False,True,False,PULLBACK,NONE,75,10,False,False
2026-04-17 09:45:00,645.8800048828125,646.2000122070312,644.1199951171875,645.6699829101562,1273460,645.4133442382813,645.2576562665084,645.114327862235,97.1005117622592,2.044138316162821,0.03247886999125536,4.158666418120467,99.88929425607506,645.2761910005363,,,0.10274352327121156,0.19264445390327628,,,False,False,False,False,NONE,NONE,75,20,False,False
2026-04-17 09:50:00,645.6699829101562,646.6599731445312,645.469970703125,645.969970703125,1017642,645.5246695312501,645.3224121243827,645.1228417213483,97.21890845537283,1.9831286108230661,1.6877797618893347,3.9804190927453362,95.64344500323051,645.3595345401628,,,0.1512699636985444,0.3078147123846,,,False,False,True,False,PULLBACK,NONE,75,20,False,False
2026-04-17 09:55:00,645.97998046875,646.4600219726562,645.40380859375,646.4450073242188,683403,645.7087370898438,645.4244662334587,645.1359975979939,97.3999616400126,1.916920379971865,1.6213541858985034,4.07029684902603,91.88512244839129,645.4107083556044,,,0.24259059496022223,0.5395628213987554,,,False,False,True,False,PULLBACK,NONE,75,20,False,False
2026-04-17 10:00:00,646.4600219726562,647.0349731445312,646.2899780273438,646.9199829101562,661370,645.9509862539063,645.5604222949767,645.1537486956274,97.57028532321446,1.8332114326301245,3.814508436330035,3.952145436699088,85.44848178340065,645.4942503509527,,,0.2509044670532575,0.7777240168953276,,,False,False,False,False,NONE,NONE,75,20,False,False
2026-04-17 10:05:00,646.8900146484375,647.3099975585938,646.739990234375,647.2449951171875,882152,646.2097880265626,645.713565278814,645.1745571177325,97.682174748611,1.7429825677435977,4.852472413709197,3.8598261851641205,80.15884882586518,645.6176036192202,,,0.20366266153168985,0.9336820276258333,,,False,False,False,False,NONE,NONE,85,10,False,False
2026-04-17 10:10:00,647.2449951171875,647.530029296875,646.77001953125,647.35009765625,647377,646.4378499525002,645.86234094949,645.19620428727,97.71875974458105,1.6727702247351266,5.634547523755221,3.7345632466068563,75.8817337711007,645.7030268080018,,,0.06283142628219747,0.9846366368154245,,,False,False,False,False,NONE,NONE,85,10,False,False
2026-04-17 10:15:00,647.3499755859375,647.3690795898438,646.739990234375,646.8300170898438,927497,646.5162833799689,645.9503115077039,645.2124611310767,90.13704018499433,1.5982215912160997,5.476128857051882,3.7637723064646913,71.78533818259409,645.7937885540055,,,0.3253356724445885,0.6483634944825241,,,False,False,False,False,NONE,NONE,85,10,False,False
